num_step,gregaire,peureuse,kamikaze,prevoyante,pers_multi,camouflage,carapace,nageoires,yeux,oreilles
129,66.6667,0,0,33.3333,0,50,66.6667,66.6667,0,0
130,66.6667,0,0,33.3333,0,50,66.6667,66.6667,0,0
131,66.6667,0,0,33.3333,0,50,66.6667,66.6667,0,0
132,66.6667,0,0,33.3333,0,50,66.6667,66.6667,0,0
133,66.6667,0,0,33.3333,0,50,66.6667,66.6667,0,0
134,66.6667,0,0,33.3333,0,50,66.6667,66.6667,0,0
135,66.6667,0,0,33.3333,0,50,66.6667,66.6667,0,0
136,66.6667,0,0,33.3333,0,50,66.6667,66.6667,0,0
137,66.6667,0,0,33.3333,0,50,66.6667,66.6667,0,0
138,66.6667,0,0,33.3333,0,50,66.6667,66.6667,0,0
139,66.6667,0,0,33.3333,0,50,66.6667,66.6667,0,0
140,66.6667,0,0,33.3333,0,50,66.6667,66.6667,0,0
141,66.6667,0,0,33.3333,0,50,66.6667,66.6667,0,0
142,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
143,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
144,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
145,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
146,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
147,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
148,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
149,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
150,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
151,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
152,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
153,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
154,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
155,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
156,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
157,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
158,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
159,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
160,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
161,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
162,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
163,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
164,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
165,57.1429,14.2857,0,28.5714,0,42.8571,57.1429,71.4286,0,0
